Module Name: ctf1 Module Base 00400000
SectionNumber: 00000001   SectionVirtualAddress: 00401000
SectionNumber: 00000002   SectionVirtualAddress: 00445000
SectionNumber: 00000003   SectionVirtualAddress: 00464000
SectionNumber: 00000004   SectionVirtualAddress: 00467000
SectionNumber: 00000005   SectionVirtualAddress: 00468000
SectionNumber: 00000006   SectionVirtualAddress: 00469000
SectionNumber: 00000007   SectionVirtualAddress: 0046a000
SectionNumber: 00000008   SectionVirtualAddress: 0046b000
seg:offset: 0001:00000000  Address: 00401000  symbol£ºsub_401000
seg:offset: 0001:00000050  Address: 00401050  symbol£ºsub_401050
seg:offset: 0001:000000A0  Address: 004010a0  symbol£ºsub_4010A0
seg:offset: 0001:000000E0  Address: 004010e0  symbol£ºsub_4010E0
seg:offset: 0001:00000120  Address: 00401120  symbol£ºsub_401120
seg:offset: 0001:00002B40  Address: 00403b40  symbol£ºsub_403B40
seg:offset: 0001:00002B60  Address: 00403b60  symbol£ºsub_403B60
seg:offset: 0001:00002B80  Address: 00403b80  symbol£ºsub_403B80
seg:offset: 0001:00002BA0  Address: 00403ba0  symbol£ºsub_403BA0
seg:offset: 0001:00002BB1  Address: 00403bb1  symbol£ºsub_403BB1
seg:offset: 0001:00002BC7  Address: 00403bc7  symbol£ºsub_403BC7
seg:offset: 0001:00002BE6  Address: 00403be6  symbol£ºstd::`dynamic initializer for 'fout''(void)
seg:offset: 0001:00002C20  Address: 00403c20  symbol£ºsub_403C20
seg:offset: 0001:00002C2A  Address: 00403c2a  symbol£ºsub_403C2A
seg:offset: 0001:00002C40  Address: 00403c40  symbol£ºsub_403C40
seg:offset: 0001:00002C4C  Address: 00403c4c  symbol£ºsub_403C4C
seg:offset: 0001:00002C58  Address: 00403c58  symbol£ºsub_403C58
seg:offset: 0001:00002C64  Address: 00403c64  symbol£ºsub_403C64
seg:offset: 0001:00002C80  Address: 00403c80  symbol£ºsub_403C80
seg:offset: 0001:00002C90  Address: 00403c90  symbol£ºsub_403C90
seg:offset: 0001:00002CC0  Address: 00403cc0  symbol£ºsub_403CC0
seg:offset: 0001:00002CE6  Address: 00403ce6  symbol£ºloc_403CE6
